Date Scraped,Title,Budget,Skills,Link
2025-06-14 - 16:34:47,data scraping expert looking,$1/ Hr,"Web Scraping, Python, Web Search, Data Entry",https://www.truelancer.com/freelance-project/data-scraping-expert-looking-593028
2025-06-14 - 16:34:48,Stellarium Sky Map Batch Automation,$100,"Python, Geographic Information System GIS",https://www.truelancer.com/freelance-project/stellarium-sky-map-batch-automation-589317
2025-06-14 - 16:34:49,AI Enabled Automation Specialist Excel–Word + GPT Integration,$90,"Web Scraping, Python, Automation, Excel VBA",https://www.truelancer.com/freelance-project/ai-enabled-automation-specialist-excelword-gpt-integration-592821
2025-06-14 - 16:34:53,Python client server,$4/ Hr,Python,https://www.truelancer.com/freelance-project/python-client-server-592446
2025-06-14 - 16:34:53,I need some one who can develop a advanced dashboard for a Quantum AI bot,$50,"Windows, Python, Docker, Artificial Intelligence",https://www.truelancer.com/freelance-project/i-need-some-one-who-can-develop-a-advanced-dashboard-for-a-quantum-ai-bot-592314
2025-06-14 - 16:34:56,Blockchain Crypto Exchange,$500,"PHP, Python, C++ Programming, Blockchain",https://www.truelancer.com/freelance-project/blockchain-crypto-exchange-592096
2025-06-14 - 16:34:57,We want to develop a software to simplify our daily work flow,$565,"Java, Python, software development, Core Java",https://www.truelancer.com/freelance-project/we-want-to-develop-a-software-to-simplify-our-daily-work-flow-591983
2025-06-14 - 16:34:58,Need erpnext ERP Developer  for Customisation & Integration,$565,"javascript, Python, Nginx, Redis",https://www.truelancer.com/freelance-project/need-erpnext-erp-developer-for-customisation-integration-591820
2025-06-14 - 16:34:58,Data Engineer for Product Analytics,$50/ Hr,"Python, sql, Apache Spark, Data Science",https://www.truelancer.com/freelance-project/data-engineer-for-product-analytics-591770
2025-06-14 - 16:35:00,Small Game based project with Python,$9,"Python, Django, Python Numpy",https://www.truelancer.com/freelance-project/small-game-based-project-with-python-591476
2025-06-14 - 16:35:02,This document outlines the plan for developing a stock market research and advisory website .,$3/ Hr,"Web Scraping, Python, Data Processing, Machine learning",https://www.truelancer.com/freelance-project/this-document-outlines-the-plan-for-developing-a-stock-market-research-and-advisory-website-591252
2025-06-14 - 16:35:03,Sales Data for AI & ML projects in Azure,$28,"Python, Artificial Intelligence, Azure",https://www.truelancer.com/freelance-project/sales-data-for-ai-ml-projects-in-azure-591153
2025-06-14 - 16:35:04,Need a part time VBA developer   Fixed Salary,$226,"Python, Excel VBA, VBA",https://www.truelancer.com/freelance-project/need-a-part-time-vba-developer-fixed-salary-590773
2025-06-14 - 16:35:08,"Software design & microcontroller coding for a 1,3,5 KVA pure sine wave inverter.",$2/ Hr,"Python, C Programming",https://www.truelancer.com/freelance-project/software-design-microcontroller-coding-for-a-135-kva-pure-sine-wave-inverter-590234
2025-06-14 - 16:35:08,"Build a Functional, Scalable B2B Proposal Generator Tool No MVPs – Real, Affordable Build",$300,"MySQL, CSS, Python",https://www.truelancer.com/freelance-project/build-a-functional-scalable-b2b-proposal-generator-tool-no-mvps-real-affordable-build-590334
2025-06-14 - 16:35:11,Looking for AI Engineer to Build a Fully Automated YouTube Video Agent.,$1000,"Web Scraping, Python, Artificial Intelligence, Automation",https://www.truelancer.com/freelance-project/looking-for-ai-engineer-to-build-a-fully-automated-youtube-video-agent-589709
2025-06-14 - 16:35:11,Getting Live data from API,$452,"Web Scraping, jquery, Python, json",https://www.truelancer.com/freelance-project/getting-live-data-from-api-589469
2025-06-14 - 16:35:12,AI Automation Expert,$100,"Java, Python, json",https://www.truelancer.com/freelance-project/ai-automation-expert-589579
2025-06-14 - 16:35:14,Batch Generation of Sky Maps Using Stellarium,$100,"Python, Digital Mapping",https://www.truelancer.com/freelance-project/batch-generation-of-sky-maps-using-stellarium-589272
2025-06-14 - 16:35:15,n8n Automation Specialist   Algorithmic Trading API Integration,$25,"Web Scraping, Python, Application Programming, Artificial Intelligence",https://www.truelancer.com/freelance-project/n8n-automation-specialist-algorithmic-trading-api-integration-589197
2025-06-14 - 16:35:15,"Python, SQLAlchemy, Microservices, AWS Lambda, API programming",$226,"Python, sql, AWS Lambda",https://www.truelancer.com/freelance-project/python-sqlalchemy-microservices-aws-lambda-api-programming-589084
2025-06-14 - 16:35:16,Python/C#/Java/.NET/VBA/Utilities developer,$100,"Java, Python, MongoDB, .NET Framework",https://www.truelancer.com/freelance-project/pythoncjavanetvbautilities-developer-589005
2025-06-14 - 16:35:16,Agentic AI / Pydantic / AI Agents / langchain / langraph / Claude Agents / FireCrawl / Crawler / n8n,$600,"Python, NodeJS, ReactJS, Web Crawler",https://www.truelancer.com/freelance-project/agentic-ai-pydantic-ai-agents-langchain-langraph-claude-agents-firecrawl-crawler-n8n-589004
2025-06-14 - 16:35:18,"To build a Python based tool that connects with the Kotak Securities API, fetches live options data",$3/ Hr,Python,https://www.truelancer.com/freelance-project/to-build-a-python-based-tool-that-connects-with-the-kotak-securities-api-fetches-live-options-data-588454
2025-06-14 - 16:35:18,Data Analytics & Dashboard Development for Risk Prioritization Project,$250,"Python, Excel, Machine learning, Power BI",https://www.truelancer.com/freelance-project/data-analytics-dashboard-development-for-risk-prioritization-project-588037
2025-06-14 - 16:35:19,VERY URGENT   Assignment help Advanced Algorithms and Data Structures,$23,"Python, Algorithm, Ada, Algorithm Development",https://www.truelancer.com/freelance-project/very-urgent-assignment-help-advanced-algorithms-and-data-structures-588111
2025-06-14 - 16:35:23,"Scrape 50,000+ Job Listings from LinkedIn with Company Name and Website with Filters",$57,"Web Scraping, Python",https://www.truelancer.com/freelance-project/scrape-50000-job-listings-from-linkedin-with-company-name-and-website-with-filters-587454
2025-06-14 - 16:35:26,Automated Drawing to Video Rendering Tool,$100,"Python, Rendering, Video production, threejs",https://www.truelancer.com/freelance-project/automated-drawing-to-video-rendering-tool-586429
2025-06-14 - 16:35:28,Meta Trader 5  EA Code development,$80,"Python, C++",https://www.truelancer.com/freelance-project/meta-trader-5-ea-code-development-582579
2025-06-14 - 16:35:28,"Need Developer for Real Time Face, Eye Blink, and Smile Detection Based Registration System Live Hu",$283,"javascript, Python, software development, OpenCV",https://www.truelancer.com/freelance-project/need-developer-for-real-time-face-eye-blink-and-smile-detection-based-registration-system-live-hu-585561
2025-06-14 - 16:35:28,Looking for a Professional 2,$10,"Python, Internet research",https://www.truelancer.com/freelance-project/looking-for-a-professional-2-585372
2025-06-14 - 16:35:28,Looking for a Professional,$10,"Python, Internet research",https://www.truelancer.com/freelance-project/looking-for-a-professional-585371
2025-06-14 - 16:35:29,AI Developer to Build Uniform Memory Retention System for Chatbot,$6/ Hr,"Python, Data Processing",https://www.truelancer.com/freelance-project/ai-developer-to-build-uniform-memory-retention-system-for-chatbot-585173
2025-06-14 - 16:35:35,Modular Scientific Toolkit Infrastructure Setup,$400,"Python, Docker, Google Cloud Platform",https://www.truelancer.com/freelance-project/modular-scientific-toolkit-infrastructure-setup-583845
2025-06-14 - 16:35:37,Relevance AI – Agent Builder for Growth Marketing,$40,"Python, Marketing, API Development, Automation",https://www.truelancer.com/freelance-project/relevance-ai-agent-builder-for-growth-marketing-583657
2025-06-14 - 16:35:40,AI & ML Case Study presentation and Models,$17,"Python, Artificial Intelligence",https://www.truelancer.com/freelance-project/ai-ml-case-study-presentation-and-models-583309
2025-06-14 - 16:35:42,Implementing research paper,$11,"Python, C Programming, C++ Programming, CUDA",https://www.truelancer.com/freelance-project/implementing-research-paper-582586
2025-06-14 - 16:35:42,I need a python programmer to develop a trading algo based on option chain data for stock markets.,$283,Python,https://www.truelancer.com/freelance-project/i-need-a-python-programmer-to-develop-a-trading-algo-based-on-option-chain-data-for-stock-markets-582154
2025-06-14 - 16:35:43,website developer for art workshops,$565,"HTML, Website Design, Python",https://www.truelancer.com/freelance-project/website-developer-for-art-workshops-582090
2025-06-14 - 16:35:43,Build a web based application to track/audit commodities from source to destination,$1000,"MySQL, Python, Django, Cloud",https://www.truelancer.com/freelance-project/build-a-web-based-application-to-trackaudit-commodities-from-source-to-destination-575036
2025-06-14 - 16:35:43,Conversion of CUDA Based Github Code to Google Colab,$8,"Python, C Programming, C++ Programming, C++",https://www.truelancer.com/freelance-project/conversion-of-cuda-based-github-code-to-google-colab-582424
2025-06-14 - 16:35:44,websocket streaming voice assistant,$57,Python,https://www.truelancer.com/freelance-project/websocket-streaming-voice-assistant-582224
2025-06-14 - 16:35:49,Need a Android/IOS developer,$500,"Python, NodeJS, Geolocation, Blockchain",https://www.truelancer.com/freelance-project/need-a-androidios-developer-581620
2025-06-14 - 16:35:49,AI driven Palmistry App based on Indian Palmistry,$2000,"Swift Language, Python, UI Design",https://www.truelancer.com/freelance-project/ai-driven-palmistry-app-based-on-indian-palmistry-581430
2025-06-14 - 16:35:50,"I need to fix the file, it used to work and now it does not start, I made a site to order.",$700,"HTML, HTML5, Web Scraping, Python",https://www.truelancer.com/freelance-project/i-need-to-fix-the-file-it-used-to-work-and-now-it-does-not-start-i-made-a-site-to-order-581316
2025-06-14 - 16:35:51,AI & ML Project for Predictive analytics or linear regression,$17,"Python, Artificial Intelligence",https://www.truelancer.com/freelance-project/ai-ml-project-for-predictive-analytics-or-linear-regression-580947
2025-06-14 - 16:35:51,Looking for machine learning interns,$2/ Hr,"Python, Machine learning",https://www.truelancer.com/freelance-project/looking-for-machine-learning-interns-580928
2025-06-14 - 16:35:51,Fantasy/ contests game project,$8/ Hr,"Python, Django",https://www.truelancer.com/freelance-project/fantasy-contests-game-project-580548
2025-06-14 - 16:35:56,"I need a expert AI/ML, langchain, python django , fast api developer",$170,"Python, Django, Machine learning",https://www.truelancer.com/freelance-project/i-need-a-expert-aiml-langchain-python-django-fast-api-developer-579420
2025-06-14 - 16:36:00,"We need a system to automatically collect, download, and merge TikTok videos based on specific crite",$50,"Web Scraping, Python, Proxy, Automation",https://www.truelancer.com/freelance-project/we-need-a-system-to-automatically-collect-download-and-merge-tiktok-videos-based-on-specific-crite-578274
2025-06-14 - 16:36:02,AI Chatbot SAAS Development,$20/ Hr,"javascript, Python, ReactJS",https://www.truelancer.com/freelance-project/ai-chatbot-saas-development-577115
2025-06-14 - 16:36:03,Research Paper Reviewer,$57,"Java, Python, Mathematics",https://www.truelancer.com/freelance-project/research-paper-reviewer-577842
2025-06-14 - 16:36:06,Web Scrapping & Extract data,$1/ Hr,"Web Scraping, PHP, javascript, Python",https://www.truelancer.com/freelance-project/web-scrapping-extract-data-577472
2025-06-14 - 16:36:10,Someone to Add Value and Document https://aistudio.google.com for my use case,$25,"Python, Internet research",https://www.truelancer.com/freelance-project/someone-to-add-value-and-document-httpsaistudiogooglecom-for-my-use-case-576488
2025-06-14 - 16:36:14,Agentic AI workflow creation,$23,"Python, Artificial Intelligence",https://www.truelancer.com/freelance-project/agentic-ai-workflow-creation-575841
2025-06-14 - 16:36:15,Odoo Developer Convert Community Edition to Enterprise with Unlimited Users,$2/ Hr,"javascript, Python, eCommerce, Odoo",https://www.truelancer.com/freelance-project/odoo-developer-convert-community-edition-to-enterprise-with-unlimited-users-575652
2025-06-14 - 16:36:15,It is an email address validation service interface of a lead management application,$80,"AngularJS, Python, Django, Microsoft SQL Server",https://www.truelancer.com/freelance-project/it-is-an-email-address-validation-service-interface-of-a-lead-management-application-575691
2025-06-14 - 16:36:16,Implement an Alternative to OpenAI Operator,$25,"Python, Artificial Intelligence",https://www.truelancer.com/freelance-project/implement-an-alternative-to-openai-operator-575559
2025-06-14 - 16:36:16,ERPNext Developer for Garments Manufacturing ERP Implementation,$1130,"ERP, Python",https://www.truelancer.com/freelance-project/erpnext-developer-for-garments-manufacturing-erp-implementation-575528
2025-06-14 - 16:36:17,Need backend developer for Android/iOS Game,$79,"PHP, Python, Apache, Android App Development",https://www.truelancer.com/freelance-project/need-backend-developer-for-androidios-game-575166
2025-06-14 - 16:36:19,Design and style a webpage using HTML and CSS.Backend FLASK,$11,"HTML, CSS, Python, Bootstrap",https://www.truelancer.com/freelance-project/design-and-style-a-webpage-using-html-and-cssbackend-flask-574618
2025-06-14 - 16:36:20,I need an AI Agent to do Digital Marketing for my Business using the api key of open AI or Deepseek,$1130,"Python, Artificial Intelligence",https://www.truelancer.com/freelance-project/i-need-an-ai-agent-to-do-digital-marketing-for-my-business-using-the-api-key-of-open-ai-or-deepseek-574735
2025-06-14 - 16:36:24,need expert backend and frontend programmers to develop web application,$904,"javascript, Python, Cloud, ReactJS",https://www.truelancer.com/freelance-project/need-expert-backend-and-frontend-programmers-to-develop-web-application-574175
2025-06-14 - 16:36:25,Data scraping in excel sheets,$57,"Web Scraping, Website Design, Python, Data scraping",https://www.truelancer.com/freelance-project/data-scraping-in-excel-sheets-573947
2025-06-14 - 16:36:27,I need a help in automating website for python with selenium automation,$11,"Python, Selenium",https://www.truelancer.com/freelance-project/i-need-a-help-in-automating-website-for-python-with-selenium-automation-573658
2025-06-14 - 16:36:28,Orange Picking Drone for Orchards,$85,"Python, Circuit Design, Drones, Machine learning",https://www.truelancer.com/freelance-project/orange-picking-drone-for-orchards-573523
2025-06-14 - 16:36:30,Seeking a skilled developer to automate a workflow using Zapier or Make.com for scheduled social med,$34,"Python, Artificial Intelligence, Machine learning",https://www.truelancer.com/freelance-project/seeking-a-skilled-developer-to-automate-a-workflow-using-zapier-or-makecom-for-scheduled-social-med-573252
2025-06-14 - 16:36:30,Web Scraping and Data Comparison Script Development,$40,"Web Scraping, PHP, Python",https://www.truelancer.com/freelance-project/web-scraping-and-data-comparison-script-development-573166
2025-06-14 - 16:36:31,Web Scraper for Google Hotels Scraping,$23,"Web Scraping, Go Lang, Python, NodeJS",https://www.truelancer.com/freelance-project/web-scraper-for-google-hotels-scraping-573134
2025-06-14 - 16:36:32,Automated Video Creation Tool with Futuristic HUD and Infographic Interfaces,$5/ Hr,"Python, C++ Programming, Video Services, Video Script",https://www.truelancer.com/freelance-project/automated-video-creation-tool-with-futuristic-hud-and-infographic-interfaces-572971
2025-06-14 - 16:36:33,ollama + open webui + office 365 authentication + specific private data to be given from Data file,$100,Python,https://www.truelancer.com/freelance-project/ollama-open-webui-office-365-authentication-specific-private-data-to-be-given-from-data-file-572692
2025-06-14 - 16:36:35,scraping using python script,$20,Python,https://www.truelancer.com/freelance-project/scraping-using-python-script-572560
2025-06-14 - 16:36:37,I need a senior blockchain engineer with Python experience,$40/ Hr,"Python, Blockchain",https://www.truelancer.com/freelance-project/i-need-a-senior-blockchain-engineer-with-python-experience-572323
2025-06-14 - 16:36:38,I need a code that can pull specific number sequences from number lists.,$300,Python,https://www.truelancer.com/freelance-project/i-need-a-code-that-can-pull-specific-number-sequences-from-number-lists-572178
2025-06-14 - 16:36:38,ALGO Tool for Crypto & Forex Markets,$90,"Python, Algorithm, Algorithm Development, Automation",https://www.truelancer.com/freelance-project/algo-tool-for-crypto-forex-markets-571968
2025-06-14 - 16:36:38,Algo Trading system using Angel API and telegram messaging,$34,Python,https://www.truelancer.com/freelance-project/algo-trading-system-using-angel-api-and-telegram-messaging-572058
2025-06-14 - 16:36:40,I need a developer who can create custom modules for Odoo v18,$500,"Python, Odoo",https://www.truelancer.com/freelance-project/i-need-a-developer-who-can-create-custom-modules-for-odoo-v18-571436
2025-06-14 - 16:36:41,Develpoing a webapp using preavailable tools like retool.com,$678,"Python, sql, Cloud, Inventory Management",https://www.truelancer.com/freelance-project/develpoing-a-webapp-using-preavailable-tools-like-retoolcom-571603
2025-06-14 - 16:36:43,Urgent   We are looking for a python developer,$57,"MySQL, Python, Flask",https://www.truelancer.com/freelance-project/urgent-we-are-looking-for-a-python-developer-571247
2025-06-14 - 16:36:46,Developer for Automating Music Download Process Mac OS,$80,"Python, AppleScript, Automation, Mac OS App Development",https://www.truelancer.com/freelance-project/developer-for-automating-music-download-process-mac-os-570750
2025-06-14 - 16:36:46,Custom Bot Developer for Trading Strategy App with Broker Integration,$200,"javascript, Python, software development, MetaTrader 4 MT4",https://www.truelancer.com/freelance-project/custom-bot-developer-for-trading-strategy-app-with-broker-integration-570748
2025-06-14 - 16:36:47,I need Python Developer with Excel VBA knowledge for Stock Market Dashboard,$40,"Python, sql, Excel, Excel VBA",https://www.truelancer.com/freelance-project/i-need-python-developer-with-excel-vba-knowledge-for-stock-market-dashboard-570608
2025-06-14 - 16:36:48,eSignature application development,$5/ Hr,Python,https://www.truelancer.com/freelance-project/esignature-application-development-570309
2025-06-14 - 16:36:52,Artificial intelligence based ERP + CRM,$339,"Python, Flutter",https://www.truelancer.com/freelance-project/artificial-intelligence-based-erp-crm-569095
2025-06-14 - 16:36:53,Senior blockchain engineer for crypto wallet project,$100/ Hr,"Python, Solidity, Blockchain",https://www.truelancer.com/freelance-project/senior-blockchain-engineer-for-crypto-wallet-project-569235
2025-06-14 - 16:36:54,Python Engineer Needed for Desktop Application Development,$15/ Hr,Python,https://www.truelancer.com/freelance-project/python-engineer-needed-for-desktop-application-development-569266
2025-06-14 - 16:36:54,node js or python developer to work on metamask and blockchain to automate the script,$23,"Python, NodeJS, Blockchain",https://www.truelancer.com/freelance-project/node-js-or-python-developer-to-work-on-metamask-and-blockchain-to-automate-the-script-569290
2025-06-14 - 16:37:00,Ligação TCP/IP a uma unidade de interrogação,$10,"Python, LabVIEW",https://www.truelancer.com/freelance-project/ligacao-tcpip-a-uma-unidade-de-interrogacao-568459
2025-06-14 - 16:37:03,Urgent   Full Stack Python Developer with expertise in html bootstrap css STREAMLIT django flask,$1/ Hr,"HTML5, CSS, Python, Bootstrap",https://www.truelancer.com/freelance-project/urgent-full-stack-python-developer-with-expertise-in-html-bootstrap-css-streamlit-django-flask-567800
2025-06-14 - 16:37:05,Software Engineering Contractor,$45/ Hr,"Python, NodeJS, ReactJS, TypeScript",https://www.truelancer.com/freelance-project/software-engineering-contractor-567550
2025-06-14 - 16:37:10,Need a python developer,$113,Python,https://www.truelancer.com/freelance-project/need-a-python-developer-561963
2025-06-14 - 16:37:12,stock market application,$283,Python,https://www.truelancer.com/freelance-project/stock-market-application-566220
2025-06-14 - 16:37:12,need a program to scrap data from website,$34,"javascript, Python, NET, Selenium WebDriver",https://www.truelancer.com/freelance-project/need-a-program-to-scrap-data-from-website-566209
2025-06-14 - 16:37:13,i have a software that i need to crack,$100,"Python, C++ Programming",https://www.truelancer.com/freelance-project/i-have-a-software-that-i-need-to-crack-565900
2025-06-14 - 16:37:17,I want to build a personal cloud for hosting my own for Artificial Intelligence projects,$113,"Python, Server Administration, Computer Hardware Design, Computer Hardware Installation",https://www.truelancer.com/freelance-project/i-want-to-build-a-personal-cloud-for-hosting-my-own-for-artificial-intelligence-projects-565278
2025-06-14 - 16:37:18,Title: Seeking Skilled Blockchain Developer for Profitable Sandwich Bot Development,$100,"PHP, javascript, Python",https://www.truelancer.com/freelance-project/title-seeking-skilled-blockchain-developer-for-profitable-sandwich-bot-development-565310
2025-06-14 - 16:37:18,I need usdt flasher software,$300,"Windows, javascript, Python",https://www.truelancer.com/freelance-project/i-need-usdt-flasher-software-565285
2025-06-14 - 16:37:18,"Data Extraction, Web scrapping , Email Addreses",$200,"Python, Data Processing, Oracle Database",https://www.truelancer.com/freelance-project/data-extraction-web-scrapping-email-addreses-565175
2025-06-14 - 16:37:22,Senior Python Developers: 2 to 4 years: contract 6months,$452,Python,https://www.truelancer.com/freelance-project/senior-python-developers-2-to-4-years-contract-6months-564599
2025-06-14 - 16:37:23,Urgent   High Professional Quality PDF Report Design and implementation in Python,$1/ Hr,"Python, Financial Reporting, Microsoft PowerPoint",https://www.truelancer.com/freelance-project/urgent-high-professional-quality-pdf-report-design-and-implementation-in-python-564445
2025-06-14 - 16:37:23,A Real Developer for ActivePieces,$3/ Hr,"Adobe Flash, PHP, Python, Internet research",https://www.truelancer.com/freelance-project/a-real-developer-for-activepieces-564344
2025-06-14 - 16:37:24,I need Ai models in python,$34,"Python, Django",https://www.truelancer.com/freelance-project/i-need-ai-models-in-python-564209
2025-06-14 - 16:37:24,Production grade scraper crawler,$17,"Web Scraping, Python, NodeJS",https://www.truelancer.com/freelance-project/production-grade-scraper-crawler-564173
2025-06-14 - 16:37:26,Expert in Matlab to convert the code into Octave,$1/ Hr,"Python, Matlab, GNU Octave",https://www.truelancer.com/freelance-project/expert-in-matlab-to-convert-the-code-into-octave-563713
2025-06-14 - 16:37:28,odoo customization and implementation,$1130,"ERP, Python, Odoo",https://www.truelancer.com/freelance-project/odoo-customization-and-implementation-563239
2025-06-14 - 16:37:33,Improve a python2 script functionality,$30,Python,https://www.truelancer.com/freelance-project/improve-a-python2-script-functionality-562543
2025-06-14 - 16:37:34,Schoolm managemnt Software,$60,"PHP, Python, software development, C++ Programming",https://www.truelancer.com/freelance-project/schoolm-managemnt-software-562059
2025-06-14 - 16:37:34,Lora Connectivity for Sensor Data Transmission Electronics embedded expertise,$113,"Python, Arduino, Microcontroller Design, Microcontroller Programming",https://www.truelancer.com/freelance-project/lora-connectivity-for-sensor-data-transmission-electronics-embedded-expertise-562361
2025-06-14 - 16:37:34,Web Scraping Expert Needed for Social Media Data Extraction,$100,"Web Scraping, Python, Data mining",https://www.truelancer.com/freelance-project/web-scraping-expert-needed-for-social-media-data-extraction-562212
2025-06-14 - 16:37:36,Odoo implementation and upgrading to last version,$10/ Hr,"Python, Software Architecture, software development, sql",https://www.truelancer.com/freelance-project/odoo-implementation-and-upgrading-to-last-version-561994
2025-06-14 - 16:37:36,Right Hand Person for My SaaS,$10,"Python, Artificial Intelligence, Internet research",https://www.truelancer.com/freelance-project/right-hand-person-for-my-saas-561875
2025-06-14 - 16:37:38,ALGO Tool for Crypto & Forex Markets,$113,"Python, Data Encoding, Data Science",https://www.truelancer.com/freelance-project/algo-tool-for-crypto-forex-markets-561646
2025-06-14 - 16:37:39,Decrypt SNMPv3 message from encrypted_pdu,$11,"Python, SNMP",https://www.truelancer.com/freelance-project/decrypt-snmpv3-message-from-encrypted-pdu-561543
2025-06-14 - 16:37:39,I need someone who can create mod apk,$17,"Mobile App, Python, Android SDK, Automation",https://www.truelancer.com/freelance-project/i-need-someone-who-can-create-mod-apk-561495
2025-06-14 - 16:37:43,Consistency Check  or Validation Tool,$40,"Python, Excel, Excel VBA, Microsoft PowerPoint",https://www.truelancer.com/freelance-project/consistency-check-or-validation-tool-560764
2025-06-14 - 16:37:43,NLP based application,$57,"MySQL, Python, GUI Design, Natural language processing",https://www.truelancer.com/freelance-project/nlp-based-application-560729
2025-06-14 - 16:37:45,Django Project Management,$85,"Python, Django",https://www.truelancer.com/freelance-project/django-project-management-560363
2025-06-14 - 16:37:46,Universal Web Scraping Script in Python,$11,"Web Scraping, MySQL, Python",https://www.truelancer.com/freelance-project/universal-web-scraping-script-in-python-560126
2025-06-14 - 16:37:46,Create ML Model to copy content from book to multiple file in specific format,$198,"Python, Machine learning",https://www.truelancer.com/freelance-project/create-ml-model-to-copy-content-from-book-to-multiple-file-in-specific-format-559264
2025-06-14 - 16:37:47,Urgently need Delhi based IT vendors who can provide onsite resource.,$848,"Python, Django, sql",https://www.truelancer.com/freelance-project/urgently-need-delhi-based-it-vendors-who-can-provide-onsite-resource-559956
2025-06-14 - 16:37:49,Getting all the email addresses related to a specific domain,$500,"MySQL, Python, Oracle Database",https://www.truelancer.com/freelance-project/getting-all-the-email-addresses-related-to-a-specific-domain-499605
2025-06-14 - 16:37:49,Flutter News application Design,$283,"Python, Flutter",https://www.truelancer.com/freelance-project/flutter-news-application-design-559319
2025-06-14 - 16:37:50,My website need a chatbot AI,$100,"Website Design, Python, Machine learning",https://www.truelancer.com/freelance-project/my-website-need-a-chatbot-ai-559002
2025-06-14 - 16:37:53,Flutter Application with Py + Flask and fastAPI,$750,"Python, Flask, Flutter",https://www.truelancer.com/freelance-project/flutter-application-with-py-flask-and-fastapi-558453
2025-06-14 - 16:37:59,need a LLM based on an PDF file to delivery feedback from the document,$200,"Python, Artificial Intelligence",https://www.truelancer.com/freelance-project/need-a-llm-based-on-an-pdf-file-to-delivery-feedback-from-the-document-556505
2025-06-14 - 16:38:00,I need to set up the project made in Python,$1/ Hr,"Python, Python Numpy",https://www.truelancer.com/freelance-project/i-need-to-set-up-the-project-made-in-python-556814
2025-06-14 - 16:38:00,Flutter App minor fixes & Implementation,$500,"Python, Flask, Flutter",https://www.truelancer.com/freelance-project/flutter-app-minor-fixes-implementation-556729
2025-06-14 - 16:38:01,B2B web scrapping 15million companies names,$300,"Web Scraping, Python",https://www.truelancer.com/freelance-project/b2b-web-scrapping-15million-companies-names-556592
2025-06-14 - 16:38:02,Scrap data from website and update in cloud,$113,"Web Scraping, PHP, Python, Data scraping",https://www.truelancer.com/freelance-project/scrap-data-from-website-and-update-in-cloud-556270
2025-06-14 - 16:38:03,Job Portal Parsing Software,$34,"Web Scraping, Python, Selenium",https://www.truelancer.com/freelance-project/job-portal-parsing-software-555976
2025-06-14 - 16:38:05,social media scrapping project   Ongoing project opportunity,$50,"Web Scraping, javascript, Python",https://www.truelancer.com/freelance-project/social-media-scrapping-project-ongoing-project-opportunity-555612
2025-06-14 - 16:38:07,Sampling of Nutrition Data to Analyze Various Diets II,$50,"Python, Data Science",https://www.truelancer.com/freelance-project/sampling-of-nutrition-data-to-analyze-various-diets-ii-554835
2025-06-14 - 16:38:09,Web App development with API integration,$57,"HTML, Python, Flutter",https://www.truelancer.com/freelance-project/web-app-development-with-api-integration-554484
2025-06-14 - 16:38:09,Growth marketing Automation with Make.com,$40,"Python, Marketing, API Development, Automation",https://www.truelancer.com/freelance-project/growth-marketing-automation-with-makecom-554382
2025-06-14 - 16:38:11,Proposal Development tool,$57,"Python, Microsoft PowerPoint",https://www.truelancer.com/freelance-project/proposal-development-tool-554366
2025-06-14 - 16:38:12,App in Python and some video replay,$45,Python,https://www.truelancer.com/freelance-project/app-in-python-and-some-video-replay-554112
2025-06-14 - 16:38:16,Based on the data available  combine Machine Learning and Reinforcement learning to get output,$226,"Python, Artificial Intelligence, Machine learning",https://www.truelancer.com/freelance-project/based-on-the-data-available-combine-machine-learning-and-reinforcement-learning-to-get-output-552764
2025-06-14 - 16:38:19,We need Python + Javascript  programmers for reference answers to short assignments,$6,"javascript, Python",https://www.truelancer.com/freelance-project/we-need-python-javascript-programmers-for-reference-answers-to-short-assignments-552181
2025-06-14 - 16:38:26,Odoo implementation and customization for a 4 store watch and diamond jewellery retailer,$3000,"Python, eCommerce, Odoo",https://www.truelancer.com/freelance-project/odoo-implementation-and-customization-for-a-4-store-watch-and-diamond-jewellery-retailer-549919
